	GSM469508	GSM469509	GSM469510	GSM469511	GSM469512	GSM469513	GSM469514	GSM469515	GSM469516	GSM469517	GSM469518	GSM469519	GSM469520	GSM469521	GSM469522	GSM469523
RBBP5	2.759821228	3.074355899	3.579458271	3.618073801	3.120023163	2.873418138	3.1125047	2.832154554	2.627036483	2.855120012	2.830335614	2.871784739	2.878911924	2.645793077	2.889455743	2.984191841
RBBP6	4.266450706	5.274748272	5.089022024	5.278236372	4.855398647	4.169681001	4.840636457	4.32988874	3.880012408	4.302008549	4.419097771	4.021238258	4.192581635	4.161193894	4.393582607	4.211261641
RBBP7	6.378315763	6.486873733	5.77609659	6.572752692	6.978142783	5.984839926	6.534279168	6.589939495	6.908737812	7.01266579	6.492501273	6.415248393	6.520313322	7.188107471	6.330406268	6.612800677
RBBP8	4.441909123	3.099263584	4.730136719	4.251379193	3.886206839	3.823742232	4.456323835	4.047569666	4.618196981	5.101903125	3.902430785	4.233059493	4.00079127	4.111155012	3.779549686	4.013443982
RBBP9	3.045473595	3.497999703	3.356453384	3.476247423	3.194703724	3.094149149	3.150740923	3.07396106	2.862661988	3.126423128	3.092086707	3.054244609	3.144431807	2.984678006	3.205507413	3.134719286
RBCK1	4.922199605	5.723370801	6.102421386	4.416214829	5.501318208	4.79416813	4.874566642	5.126071271	4.373397042	5.839992297	5.257109348	4.473925286	4.720646652	4.895299205	5.446596633	4.903234865
RBFA	2.750883533	3.011616582	2.591345385	3.072856821	2.753953991	3.391925669	2.911861598	2.823585549	2.92835157	2.733049213	2.78102899	2.750377936	3.187876241	3.221964679	2.90006405	2.761904748
RBFADN	2.226478243	2.291566087	2.231812189	2.379568572	2.291663716	2.505622866	2.250863451	2.24053596	2.234795802	2.22912234	2.220853305	2.237178747	2.22008523	2.231568108	2.274176344	2.272125788
RBFOX1	2.353161543	2.746365765	2.420726549	2.436671238	2.390740627	2.394970325	2.401873935	2.379775527	2.350073076	2.350626866	2.358989958	2.367677197	2.392055772	2.372951291	2.387839884	2.400056733
RBFOX2	2.568030967	2.989863867	3.123106566	3.316559483	2.977974146	4.306346906	3.038798094	3.152083769	2.82565735	3.624103027	2.767870696	2.807476636	3.954236636	3.280894583	2.797495069	2.695813335
RBKS	5.646164333	5.964170817	5.181035853	6.780869496	6.809587253	5.969038927	6.753347986	6.095220329	6.183328815	4.042080621	6.354484938	6.2531335	6.481930764	5.855350217	6.305809544	5.950928559
RBL1	2.788723394	4.071879115	3.820749467	3.947669282	3.805345819	3.216359298	3.747279267	3.082640564	2.801652256	3.057302674	3.150711789	2.988688618	3.200229705	2.829509416	3.276441806	3.340189527
RBL2	5.999027853	6.403403233	5.91970248	6.667692006	5.897149267	5.598406742	5.945406154	5.523645968	5.58040194	5.371155526	6.051126661	5.829266851	5.718940649	5.576066165	6.085813406	5.893666699
RBM10	4.444171345	4.231078496	3.95653513	4.051133274	4.583248557	4.750564173	4.506213891	5.117512101	4.752444114	4.280681049	4.425228253	4.255224721	4.223184768	4.836142199	4.677074912	4.33244632
RBM12	5.995154853	5.505741132	5.00140139	5.169858317	5.307118719	4.348333265	4.953534592	4.868987194	5.633568367	6.156511494	4.99723812	5.69385846	5.134481969	5.32354967	4.861693391	5.015702508
RBM12B	3.562405873	4.57517366	4.173453242	4.396815265	4.282165506	3.706194902	4.199862531	3.652316159	3.482759375	3.418337813	3.644182748	3.517497025	3.688118022	3.404154379	3.914432046	3.809675078
RBM12B-AS1	2.245989338	2.365131754	2.381810635	2.325611946	2.292384643	2.283654027	2.32739712	2.256559546	2.256430769	2.238839277	2.247803864	2.261762944	2.278280851	2.259483945	2.285836079	2.289384717
RBM14	2.916133202	2.957860031	2.279897686	2.82875109	2.94527179	3.322060809	2.914002444	3.14610219	2.941513798	2.925634382	3.178601661	2.897561446	2.923079474	2.923385533	2.922400749	2.839395838
RBM15	4.637075036	4.988834634	5.101463813	4.675584656	4.02508472	4.434006147	4.542531329	4.398726199	4.456972279	5.208558167	4.663055335	5.169649959	4.398301977	4.276935719	4.689246027	4.184559213
RBM15B	3.355446202	3.268079407	3.198341851	3.126141186	3.35283471	3.908332846	2.990311159	3.618345608	3.823269051	3.478985665	3.291630149	3.351686755	3.685901593	3.462825392	3.370102899	3.08694655
RBM17	2.545584618	2.822305906	2.755680592	2.735130693	2.747227533	2.613974975	2.704247967	2.574830865	2.540434831	2.496696682	2.558592894	2.51296805	2.59810176	2.973375788	2.622636598	2.644433832
RBM19	2.265761672	2.389729497	2.621457587	2.334874962	2.312921937	2.312574097	2.340003717	2.290418731	2.298958925	2.285906473	2.265394023	2.470724672	2.311174161	2.291146369	2.307083624	2.335823522
RBM22	5.579382108	5.694898465	6.321117846	5.949409302	5.575664836	5.268195966	5.919002303	5.648674837	5.168308479	5.854306072	5.17316018	5.490917033	5.301056958	4.836998975	5.49822471	5.661569444
RBM23	5.386505344	4.565591682	4.496726644	4.933062827	4.487703044	5.668417602	5.231856387	5.105417052	5.389979288	5.329594743	5.203912237	5.149671818	4.945102385	5.301985775	5.0133074	3.912695864
RBM25	6.240534404	5.804229309	6.005434115	5.678157547	5.9322332	5.648813481	6.138460636	5.836814237	5.693556375	5.64679356	6.190584924	6.11161353	5.787077247	5.345892781	5.377444142	6.153455866
RBM26	4.865497445	5.206282495	4.920745425	4.432608975	4.363016007	4.531913896	4.268145017	4.884113292	4.214226971	4.656904026	4.737409113	4.601683752	4.395957285	4.38053465	4.936655117	4.902307394
RBM28	3.649927532	3.895033082	3.865281327	3.776259418	3.744866983	3.739261089	3.76624592	3.7691018	4.082601791	4.211705091	3.756063651	4.06958548	3.540785188	3.905704802	3.209851528	3.792124992
RBM3	5.881614123	5.108799646	4.272980109	5.402167848	5.373117593	4.868084871	5.125786704	5.44352368	5.824581393	6.304334782	4.961685126	6.162097779	5.157294596	4.940516105	5.057919162	5.635220527
RBM34	2.069367993	3.198870186	2.120122702	2.299456258	2.092471267	2.09749226	2.100437268	2.081344634	2.079772942	2.066661709	2.069885804	2.085641829	2.099294419	2.084978331	2.107100807	2.149602965
RBM38	4.846806826	6.213996942	4.729452364	5.035142701	5.176106165	4.90668331	5.305763735	5.23147172	6.071743965	4.677260226	5.202685926	5.168379079	4.742165131	5.488250658	6.615861965	4.783643629
RBM39	7.052130192	7.144444392	6.81925994	7.178984768	6.84062795	6.822271062	6.991393487	7.128009384	6.837749312	7.07837603	7.499052278	7.098767225	7.0473267	6.655052778	7.184760225	7.167435206
RBM41	3.087029203	3.7068378	3.652861767	3.692046197	3.398584729	3.283680449	3.473699167	3.352682194	2.94467069	2.940226802	3.557572764	3.319127053	3.348356363	3.339541371	3.450050439	3.377569006
RBM42	4.120074775	4.159744168	3.757863042	3.575999595	4.273950354	4.365254709	4.186476298	4.169895188	5.196846554	4.0821139	4.137610042	4.099506755	4.120519323	4.932940027	3.834586577	3.263478691
RBM47	7.99082052	8.843787287	8.741141694	8.505605247	8.245557103	7.518517856	8.076459735	8.159300661	7.816696672	8.357570209	8.167242967	8.247751709	8.277916333	8.37716691	8.085114687	7.995959663
RBM48	3.01139362	3.369194211	3.326260232	3.306728814	3.282648751	3.097313243	3.226188206	2.992404982	3.027162262	3.33894007	3.002117487	3.018058	3.076518259	2.966890711	3.094459912	3.162892467
RBM4B	2.75944907	2.455188543	2.451807166	2.56429099	2.556631319	2.569792849	2.564551128	2.554055189	3.271479871	2.539564792	2.805357151	2.891314057	2.571999844	3.225295997	2.561415426	2.571380977
RBM5	5.450944315	4.636450322	5.34154025	4.329412118	5.238150803	5.968389772	4.856990086	5.627012956	5.284963538	5.222124536	6.373603206	5.28289038	5.010455451	5.864476112	6.011820238	5.152753144
RBM6	3.478209033	3.522727315	3.466781543	3.363669583	3.309521221	3.808251961	3.436510612	3.972754557	3.568334972	3.436958549	4.532543019	3.737074837	3.319073568	3.495194873	3.729347375	3.539325403
RBM7	4.263195102	3.991422659	5.933467948	4.258734034	5.047153368	3.761537536	3.693711689	4.044694875	4.508800986	5.03656846	4.177820361	5.002855691	4.095745252	4.007085028	4.030513482	4.086400322
RBM8A	5.869458907	4.629961252	5.018109219	5.739504783	5.476151801	6.262443686	5.467444871	5.730291939	5.537423805	5.063966751	6.056522768	5.529162115	5.600608727	5.507821271	5.428876544	5.437898882
RBMS1	5.39080088	5.860936647	6.370543234	4.757521933	5.835371721	4.961003604	5.274732315	5.283821236	5.172863859	6.353997996	4.432364347	5.274653942	5.248523536	5.328958257	4.910605717	5.369497117
RBMS2	3.729807432	4.689337264	4.705790246	4.685996141	4.305267162	3.845311806	4.416221213	3.677380125	3.706899107	3.665485281	3.702457747	3.626751117	3.784907326	3.638133912	3.840634516	3.949210282
RBMS3	2.240858174	2.424751353	2.374764102	2.315415322	2.285340577	2.297308151	2.301010437	2.251111785	2.246326018	2.236833451	2.246788628	2.253821781	2.280455096	2.326759726	2.286081134	2.294211328
RBMX2	3.443019374	3.769678308	3.522113365	3.529912466	3.627539901	3.537036755	3.934103964	3.493874337	3.451206979	3.454689149	3.462987967	3.407537722	3.4378141	3.522639978	3.491771963	3.490706851
RBMXL2	2.517228583	2.719353189	2.775170324	2.655152275	2.596539103	2.566158134	2.659507788	2.513051345	2.480506198	2.510241644	2.525402489	2.471990232	2.563158537	2.50424616	2.571030196	2.596561957
RBP1	2.850324226	2.899109343	2.856674954	2.887889298	2.856732683	2.828098274	3.384325963	2.811491272	3.142377528	2.796250772	2.946916693	2.701554968	2.870427101	3.60147436	2.840423893	2.891722803
RBP3	2.328573199	3.075498015	2.470816293	2.453472757	2.535071092	2.375747681	2.422827631	2.358436517	2.358658663	2.320072576	2.335514229	2.362408645	2.378828184	2.367905093	2.381405655	2.614157237
RBP4	6.678527415	3.477681516	2.979585835	3.015994811	2.935930487	2.77235637	2.85798851	3.50378697	3.616141953	6.018112282	2.957937657	4.655441304	2.938787942	2.797903408	3.224201891	2.817628139
RBPJ	7.70693265	7.905212502	7.268017551	7.318583981	7.141236342	7.041722906	7.292784591	7.330069288	7.460131105	7.38044183	7.502273241	7.792314471	7.293398684	8.116423974	7.191387001	7.367370897
RBPJL	2.414388797	2.579589672	2.467601781	2.566362404	2.492337595	2.464129193	2.491316068	2.449793157	2.421422006	2.408313819	2.419400058	2.427746742	2.455652386	2.434679637	2.457961438	2.47222814
RBPMS	3.879568431	3.644045991	3.623475063	3.485752773	3.917792214	4.066974212	3.637199284	3.622885073	5.547615734	4.354797476	4.159337225	3.896474425	4.290452965	4.780842195	3.616505614	3.447862588
RBX1	7.974301937	7.210347435	7.641199419	7.85175667	7.865092105	7.650403509	7.951650515	8.073265514	7.91595714	8.684059682	7.982545333	8.299660179	8.186519394	7.09949201	7.905712916	8.210492019
RC3H1	2.827467137	3.460422083	3.076052015	3.583087409	3.458601928	3.058930359	3.050474831	2.946559185	2.838444078	2.78773178	2.968024902	2.904130332	3.023414992	3.004478003	3.149777348	3.212988432
RC3H2	3.277315733	3.200264004	3.973772223	3.76958169	3.169675259	3.181562925	3.194285621	3.165866187	2.939099073	3.17321362	3.157503711	3.108774906	3.183762429	3.076940706	3.177062992	3.177625451
RCAN1	3.047812415	3.3049747	3.24963196	4.000761347	3.809161738	3.254676761	3.265281442	3.236321422	3.229521421	3.218753768	3.161690279	3.429455088	3.264258082	3.240438209	3.249609885	3.492950982
RCAN2	2.585456696	2.841296155	2.813081751	2.960639512	2.794625009	2.781150016	2.797814353	2.754256769	2.742419373	2.649807188	2.638260606	2.753203179	2.771082297	2.755144705	2.767841558	2.795530051
RCAN3	2.916306263	3.554273112	3.449355588	3.535714724	3.815024412	3.020521661	3.744093175	2.94129973	2.977762629	2.911645739	2.944403316	2.792537774	3.197482342	2.825062421	3.041282093	3.094775365
RCBTB1	4.87840657	5.253261164	4.23943421	5.401322595	5.024762137	4.425457424	4.394452126	5.092464949	4.846885459	4.357053827	5.607599477	5.218255541	4.65010953	4.630870235	4.48056073	4.81626213
RCBTB2	4.43492275	4.306124967	4.648934823	4.75543699	4.191657504	4.175480808	4.176458667	4.121609199	4.231028537	4.093104186	4.091886645	4.11276091	4.40218941	4.119919115	4.03985212	4.299029405
RCC1	3.873309182	3.801212147	3.785736198	3.303891185	4.160635235	4.56567716	3.723780099	3.89103237	5.326464349	4.784354406	4.313128568	4.11351227	3.981986975	4.548181261	3.820360612	3.94175027
RCE1	2.95890352	2.902966229	2.92967256	2.725690413	2.857865205	4.021658871	2.731952796	3.012964115	3.300285364	2.948247258	3.012306722	2.968691927	3.008751206	3.414245234	3.095658226	2.98589561
RCHY1	4.828677729	5.141443203	4.942363905	4.822948451	4.893535745	3.966802989	4.322978473	4.293907211	4.606655399	5.558223195	4.420977731	4.940551802	4.579974718	4.416966264	4.170358253	4.877681367
RCL1	2.371540724	2.400227041	2.401941266	2.410425422	2.431227995	2.761982225	2.434152248	2.391808145	2.77572801	2.306365977	2.77712132	2.672949486	2.403668721	2.428725094	2.661117065	2.249248304
RCN1	5.538990925	5.59925845	5.461908209	5.462365908	5.426399456	6.254572988	5.289654126	5.721103316	5.724024674	5.548896339	5.566082798	5.408408539	5.538068149	5.849224735	5.341702082	5.423219311
RCN2	5.677221071	5.660833435	4.997971231	5.836527834	6.12656141	5.589378765	5.756270504	5.919039972	6.280094959	5.722459938	6.005140467	5.843309951	5.841115706	6.173855969	5.018181487	6.386213267
RCN3	2.434854354	2.662014289	2.620434297	2.65243709	2.588807987	2.525240821	2.582342237	2.490165334	2.474456932	2.445664782	2.47910229	2.466675442	2.521385483	2.515514118	2.521127211	2.538901961
RCOR1	4.372587139	3.512993917	4.31064011	3.607806608	3.919506238	3.355384828	3.312407899	3.218803803	3.725175839	3.952459143	3.40445917	4.230130283	3.724954284	4.212597503	3.389425144	4.032441479
RCOR3	3.67378884	3.455617537	3.862332679	3.804012883	3.382962109	3.026279099	3.374110067	3.340931416	3.326476235	3.283334015	3.552226262	3.477412513	3.427519281	3.408071629	3.145652409	3.33534437
RCVRN	2.50515101	2.661831413	2.620168239	2.616118685	2.583852718	2.58024744	2.590695477	2.678381456	2.552830904	2.538500192	2.546981598	2.557559315	2.576544396	2.565044703	2.574307954	2.583248841
RDH11	5.542503603	5.591759108	5.51864826	5.520813177	5.817515284	5.14039752	4.95189948	5.611855608	5.306254725	5.865076582	5.233372805	5.063910843	5.256504747	5.115183305	4.704034526	5.175108723
RDH16	2.15957986	2.211865792	2.173048424	2.202926218	2.159247275	2.164821561	2.158466502	2.162185366	2.167145517	2.144326402	2.156665461	2.165020032	2.174090679	2.167726457	2.167039289	2.164247239
RDH8	2.389615094	2.503340446	2.499068148	2.522696881	2.47442572	2.451169262	2.46763232	2.404522461	2.397924349	2.385074122	2.45043215	2.404006893	2.4295554	2.410501942	2.425535204	2.426853653
RDX	6.406257514	4.784844117	6.391110807	6.377290308	6.20659878	5.094584996	5.365832881	5.775042828	6.385882667	6.358223319	6.115436243	5.716053832	6.064712213	6.135305757	5.225326368	6.867695295
REC8	5.445914025	6.978202698	4.900306083	5.809002234	6.360068843	6.399238363	6.599945993	5.920277954	7.053550188	5.19253453	6.101530295	5.547267896	5.820846706	6.761453661	6.598503654	5.785274536
RECK	4.865395787	4.999213829	5.433369425	5.433168365	4.862240287	5.081806155	4.944466903	4.867779996	4.872596663	4.737143121	4.99897396	4.885044195	4.903895981	4.871658281	5.236865965	6.783920406
RECQL	5.266606726	5.25636686	5.191263483	4.990257302	4.977361627	3.938527166	4.563495864	4.393176733	4.752300352	5.065129073	4.820350881	5.319884456	4.466069653	4.481255984	4.761881645	4.957768519
RECQL4	2.409540063	2.477635385	2.509827139	2.478152631	2.575210885	2.437035397	2.439959491	2.422438456	2.413763307	2.402174592	2.42433066	2.405146202	2.435351102	2.428281544	2.58903829	2.440777867
RECQL5	2.723730184	2.7907073	2.786410427	2.799538868	2.763405554	2.768991533	2.817551889	2.996144761	2.643435094	2.714625586	2.938298027	3.040558657	2.768187794	2.755185451	2.764941765	2.753941643
REEP1	3.653914646	2.908268857	2.991958355	3.482099183	3.458920678	3.4522131	4.144312424	3.443128278	3.666038764	2.734852921	3.430901007	3.485019263	4.236340398	4.559069579	3.466972427	3.463164868
