"sample_id","state_label","T2_z","IFN_z","repair_ECM_z"
"HR1369","E1_T2_high_IFN_low",0.457636755677273,-0.414553654290471,0.162997718780584
"HR1373","E1_T2_high_IFN_low",0.805012312621574,-0.651755052998645,-0.695661953957544
"HR1377","E1_T2_high_IFN_low",0.645055063599994,-0.262475153762075,-1.46325386136653
"HR1379","E1_T2_high_IFN_low",0.944902199372697,0.0656055662764447,-0.233579424291321
"HR1381","E1_T2_high_IFN_low",1.82974359976762,-0.431533895707645,-0.297788064454298
"HR1382","E1_T2_high_IFN_low",1.48321086832142,-0.688814608121429,0.658182160801159
"HR1383","E1_T2_high_IFN_low",0.135827057531534,-0.426893698093831,-1.39938035680103
"HR1384","E2_T2_low",-0.950409243828361,0.111342852124539,-1.02645967080348
"HR1386","E2_T2_low",-1.05613644603569,-1.07503350802913,-0.657486717254389
"HR1387","E2_T2_low",-0.922179319904799,-0.599149576729949,1.12895147364802
"HR1389","E2_T2_low",-0.0952835455281381,-0.497811458786134,1.44787854363706
"HR1390","E2_T2_low",-0.704565602103339,-0.151147255745846,-1.30965641641789
"HR1391","E1_T2_high_IFN_low",1.27982842130141,-0.393385880695413,-0.381608294459267
"HR1392","E2_T2_low",-0.676861617147951,0.597834992225558,0.148508126410753
"HR1393","E1_T2_high_IFN_low",0.692388927839417,-0.29023594637502,-1.21322012024977
"HR1394","E1_T2_high_IFN_low",1.16408145652626,-0.418658562823508,-1.0668439376514
"HR1395","E1_T2_high_IFN_low",0.32956018088652,-0.59442553171836,0.0187309438150273
"HR1396","E2_T2_low",-0.506734334385024,-0.518230351052031,-0.166800747173679
"HR1398","E1_T2_high_IFN_low",1.42884557550587,-1.26109063769266,-0.53898002635817
"HR1400","E1_T2_high_IFN_low",1.18860455569245,-0.593955324198728,-0.681679300639054
"HR1401","E1_T2_high_IFN_low",-0.0591682056476784,-1.198076665179,-1.04043347200036
"HR1402","E1_T2_high_IFN_low",0.275840761690185,-0.64547100243291,-0.30959124331592
"HR1403","E2_T2_low",-0.96030927305726,-0.610042589694818,0.593069145858745
"HR1405","E2_T2_low",-0.130911653720943,0.0067726183756365,1.59000612624007
"HR1406","E2_T2_low",-0.544609801879649,-0.733801948272964,-0.243709825692423
"HR1407","E2_T2_low",-0.813029882167403,0.552123114243324,1.16401262475626
"HR1408","E2_T2_low",-0.539861939997135,0.155641266518597,-0.427941920322672
"HR1411","E1_T2_high_IFN_low",2.08712192837362,-1.11622420411669,-0.593367619546496
"HR1413","E2_T2_low",-1.33107387403876,-0.182894805168443,-0.476821347983239
"HR1414","E1_T2_high_IFN_low",0.390090147792495,-0.428890758388346,-1.29175454220716
"HR1415","E2_T2_low",-0.90535926920132,-0.525099668911386,-0.29619455231193
"HR1416","E2_T2_low",0.200151809234028,-0.583547345975476,0.698243893103892
"HR1421","E1_T2_high_IFN_low",0.895011676247088,-0.897693032095518,-0.390245400062665
"HR1422","E1_T2_high_IFN_low",1.68868904477133,-1.34723759883292,-0.95700132413945
"HR1424","E1_T2_high_IFN_low",1.39366707668415,0.456326341844297,-1.46625441994588
"HR1425","E1_T2_high_IFN_low",0.711068276939055,-1.40329774302686,-0.124281056893011
"HR1428","E1_T2_high_IFN_low",0.790460960727377,-1.12985923541881,0.125557463196567
"HR1435","E1_T2_high_IFN_low",1.14070552164007,-0.369779174090831,-0.409049954786323
"HR1437","E1_T2_high_IFN_low",0.735256468913556,-0.345836921939783,-0.826574058729173
"HR1441","E1_T2_high_IFN_low",1.36398858902436,-0.678710212274954,-0.97549413605385
"HR1451","E2_T2_low",-0.633720372959375,-0.166712504610441,-0.224050209676536
"HR1454","E1_T2_high_IFN_low",0.797614447786745,-0.48578447164655,-0.337860771001739
"HR1455","E1_T2_high_IFN_low",0.723655507788871,-0.34048448839959,-2.02772965010131
"HR1458","E2_T2_low",-1.01227115774099,0.153651008418283,1.72755569859677
"HR1459","E3_IFN_high_repair_high",0.253523217715963,1.51487633385103,0.206730157019993
"HR1460","E1_T2_high_IFN_low",1.11238304669683,-1.05250533163128,-0.721148644485972
"HR1461","E2_T2_low",0.00654131200274555,0.189840162757463,1.76822729959362
"HR1464","E1_T2_high_IFN_low",0.398579031576106,-0.530790436601174,-0.659547743592683
"HR1469","E1_T2_high_IFN_low",0.368257533495761,-0.107555173617752,0.706836277256577
"HR1474","E2_T2_low",-0.559918121293956,-0.343994424334772,0.670794006121072
"HR1475","E1_T2_high_IFN_low",1.09900999471348,0.490290076134421,-0.936200822970058
"HR1482","E2_T2_low",-0.544150908754092,-0.0259998586123639,-0.352313284118782
"HR1485","E1_T2_high_IFN_low",0.339394238441327,-0.470765576496518,-0.860210433580907
"HR1487","E2_T2_low",-1.26158342433333,-0.637655124355304,0.130320414448325
"HR1489","E1_T2_high_IFN_low",0.611740196477373,0.0191775481237405,-1.02358077960455
"HR1490","E2_T2_low",-1.26917977557589,0.0289056059953517,0.0120926277633003
"HR1551","E1_T2_high_IFN_low",0.84216126097253,-0.0823779856517518,1.24469937529339
"HR1552","E2_T2_low",-0.777193538496345,-0.0147975681950488,-0.223792610970295
"HR1554","E1_T2_high_IFN_low",0.443641448523206,0.232530064688817,-0.0177942991920816
"HR1600","E3_IFN_high_repair_high",1.15867744461326,2.72139550061311,-0.613475743881899
"HR1601","E2_T2_low",-1.08932332081464,0.428892141104277,0.0995420247402104
"HR1602","E2_T2_low",-1.00267362573901,0.442681646748091,1.07938584452812
"HR1603","E2_T2_low",-0.495820423941986,-0.130127007025251,-0.0416542983883758
"HR1604","E1_T2_high_IFN_low",0.201938862588774,0.202300419225027,-0.431402051241259
"HR1605","E1_T2_high_IFN_low",0.842508139187205,-1.01726617690539,0.00280907125293579
"HR1606","E2_T2_low",-0.743398047503156,-1.10014890091065,-0.445838635935051
"HR1607","E1_T2_high_IFN_low",0.198770897834341,-1.8173732284163,0.497061509722399
"HR1609","E2_T2_low",-0.939140422793277,-0.143147063942151,0.242546723109023
"HR1610","E1_T2_high_IFN_low",1.21110825200589,-1.36352123272659,-0.317165537617148
"HR1611","E1_T2_high_IFN_low",0.274901432022633,-0.464804110553495,-0.600629708613746
"HR1612","E1_T2_high_IFN_low",0.352788980987327,-1.08605637087521,0.85248947935195
"HR1613","E1_T2_high_IFN_low",1.31647842462018,-0.946178816966443,0.842696107235798
"HR1614","E1_T2_high_IFN_low",0.773183442963566,-0.294691412007624,0.657224104759649
"HR1615","E1_T2_high_IFN_low",0.152147906275945,-0.295300880677531,0.0792053409581355
