probe_id	gene_symbol	gene_title	entrez_id	present_in_series	reliable_symbol	included_before_collapse	overall_mean_expression	tie_rule
212977_at	ACKR3	atypical chemokine receptor 3	57007	TRUE	TRUE	TRUE	4.8548377775625	highest overall mean; lexical probe_id if exact mean tie
220351_at	ACKR4	atypical chemokine receptor 4	51554	TRUE	TRUE	TRUE	3.4686171159375	highest overall mean; lexical probe_id if exact mean tie
201128_s_at	ACLY	ATP citrate lyase	47	TRUE	TRUE	TRUE	6.37458994975	highest overall mean; lexical probe_id if exact mean tie
218981_at	ACN9	ACN9 homolog (S. cerevisiae)	57001	TRUE	TRUE	TRUE	4.6114658941875	highest overall mean; lexical probe_id if exact mean tie
207071_s_at	ACO1	aconitase 1, soluble	48	TRUE	TRUE	TRUE	2.9083852196875	highest overall mean; lexical probe_id if exact mean tie
200793_s_at	ACO2	aconitase 2, mitochondrial	50	TRUE	TRUE	TRUE	5.707388246875	highest overall mean; lexical probe_id if exact mean tie
214763_at	ACOT11	acyl-CoA thioesterase 11	26027	TRUE	TRUE	TRUE	3.21779310175	highest overall mean; lexical probe_id if exact mean tie
204565_at	ACOT13	acyl-CoA thioesterase 13	55856	TRUE	TRUE	TRUE	5.04952834825	highest overall mean; lexical probe_id if exact mean tie
215728_s_at	ACOT7	acyl-CoA thioesterase 7	11332	TRUE	TRUE	TRUE	3.0649483358125	highest overall mean; lexical probe_id if exact mean tie
204212_at	ACOT8	acyl-CoA thioesterase 8	10005	TRUE	TRUE	TRUE	3.8686373560625	highest overall mean; lexical probe_id if exact mean tie
221641_s_at	ACOT9	acyl-CoA thioesterase 9	23597	TRUE	TRUE	TRUE	4.3989595036875	highest overall mean; lexical probe_id if exact mean tie
209600_s_at	ACOX1	acyl-CoA oxidase 1, palmitoyl	51	TRUE	TRUE	TRUE	4.2344694238125	highest overall mean; lexical probe_id if exact mean tie
205364_at	ACOX2	acyl-CoA oxidase 2, branched chain	8309	TRUE	TRUE	TRUE	2.4576061405	highest overall mean; lexical probe_id if exact mean tie
204242_s_at	ACOX3	acyl-CoA oxidase 3, pristanoyl	8310	TRUE	TRUE	TRUE	3.047145103	highest overall mean; lexical probe_id if exact mean tie
220845_at	ACOXL	acyl-CoA oxidase-like	55289	TRUE	TRUE	TRUE	3.120690646	highest overall mean; lexical probe_id if exact mean tie
201630_s_at	ACP1	acid phosphatase 1, soluble	52	TRUE	TRUE	TRUE	6.0146366136875	highest overall mean; lexical probe_id if exact mean tie
202767_at	ACP2	acid phosphatase 2, lysosomal	53	TRUE	TRUE	TRUE	3.9205165184375	highest overall mean; lexical probe_id if exact mean tie
204638_at	ACP5	acid phosphatase 5, tartrate resistant	54	TRUE	TRUE	TRUE	5.3364470840625	highest overall mean; lexical probe_id if exact mean tie
218795_at	ACP6	acid phosphatase 6, lysophosphatidic	51205	TRUE	TRUE	TRUE	4.3538492778125	highest overall mean; lexical probe_id if exact mean tie
204393_s_at	ACPP	acid phosphatase, prostate	55	TRUE	TRUE	TRUE	2.575334123125	highest overall mean; lexical probe_id if exact mean tie
207427_at	ACR	acrosin	49	TRUE	TRUE	TRUE	2.453642510375	highest overall mean; lexical probe_id if exact mean tie
207990_x_at	ACRV1	acrosomal vesicle protein 1	56	TRUE	TRUE	TRUE	2.1485566618125	highest overall mean; lexical probe_id if exact mean tie
206466_at	ACSBG1	acyl-CoA synthetase bubblegum family member 1	23205	TRUE	TRUE	TRUE	3.385106119625	highest overall mean; lexical probe_id if exact mean tie
221716_s_at	ACSBG2	acyl-CoA synthetase bubblegum family member 2	81616	TRUE	TRUE	TRUE	2.325038972125	highest overall mean; lexical probe_id if exact mean tie
218844_at	ACSF2	acyl-CoA synthetase family member 2	80221	TRUE	TRUE	TRUE	2.753680765625	highest overall mean; lexical probe_id if exact mean tie
201963_at	ACSL1	acyl-CoA synthetase long-chain family member 1	2180	TRUE	TRUE	TRUE	5.680790464	highest overall mean; lexical probe_id if exact mean tie
201662_s_at	ACSL3	acyl-CoA synthetase long-chain family member 3	2181	TRUE	TRUE	TRUE	5.9504258106875	highest overall mean; lexical probe_id if exact mean tie
202422_s_at	ACSL4	acyl-CoA synthetase long-chain family member 4	2182	TRUE	TRUE	TRUE	3.4701159253125	highest overall mean; lexical probe_id if exact mean tie
218322_s_at	ACSL5	acyl-CoA synthetase long-chain family member 5	51703	TRUE	TRUE	TRUE	4.983321979375	highest overall mean; lexical probe_id if exact mean tie
211207_s_at	ACSL6	acyl-CoA synthetase long-chain family member 6	23305	TRUE	TRUE	TRUE	3.3378240283125	highest overall mean; lexical probe_id if exact mean tie
215432_at	ACSM1	acyl-CoA synthetase medium-chain family member 1	116285	TRUE	TRUE	TRUE	2.758096076	highest overall mean; lexical probe_id if exact mean tie
210377_at	ACSM3	acyl-CoA synthetase medium-chain family member 3	6296	TRUE	TRUE	TRUE	2.525770902875	highest overall mean; lexical probe_id if exact mean tie
89977_at	ACSM5	acyl-CoA synthetase medium-chain family member 5	54988	TRUE	TRUE	TRUE	2.478881326375	highest overall mean; lexical probe_id if exact mean tie
219616_at	ACSS3	acyl-CoA synthetase short-chain family member 3	79611	TRUE	TRUE	TRUE	2.417303150375	highest overall mean; lexical probe_id if exact mean tie
203872_at	ACTA1	actin, alpha 1, skeletal muscle	58	TRUE	TRUE	TRUE	2.660551017125	highest overall mean; lexical probe_id if exact mean tie
200974_at	ACTA2	actin, alpha 2, smooth muscle, aorta	59	TRUE	TRUE	TRUE	4.1028084385	highest overall mean; lexical probe_id if exact mean tie
213867_x_at	ACTB	actin, beta	60	TRUE	TRUE	TRUE	11.35278070875	highest overall mean; lexical probe_id if exact mean tie
205132_at	ACTC1	actin, alpha, cardiac muscle 1	70	TRUE	TRUE	TRUE	2.8801503914375	highest overall mean; lexical probe_id if exact mean tie
202274_at	ACTG2	actin, gamma 2, smooth muscle, enteric	72	TRUE	TRUE	TRUE	2.9839045125	highest overall mean; lexical probe_id if exact mean tie
202666_s_at	ACTL6A	actin-like 6A	86	TRUE	TRUE	TRUE	3.9773067400625	highest overall mean; lexical probe_id if exact mean tie
