source_name	identifier	gene_symbol
wound_healing	GO:0042060	DGKI
wound_healing	GO:0042060	DGKQ
wound_healing	GO:0042060	DGKZ
wound_healing	GO:0042060	DMTN
wound_healing	GO:0042060	DRD5
wound_healing	GO:0042060	DSP
wound_healing	GO:0042060	DST
wound_healing	GO:0042060	DUOX1
wound_healing	GO:0042060	DUOX2
wound_healing	GO:0042060	DYSF
wound_healing	GO:0042060	EDN1
wound_healing	GO:0042060	ELK3
wound_healing	GO:0042060	EMILIN1
wound_healing	GO:0042060	EMILIN2
wound_healing	GO:0042060	ENPP4
wound_healing	GO:0042060	ENTPD1
wound_healing	GO:0042060	ENTPD2
wound_healing	GO:0042060	EPB41L4B
wound_healing	GO:0042060	EPHB2
wound_healing	GO:0042060	EPPK1
wound_healing	GO:0042060	ERBB2
wound_healing	GO:0042060	ERBB3
wound_healing	GO:0042060	EREG
wound_healing	GO:0042060	EVPL
wound_healing	GO:0042060	EXT1
wound_healing	GO:0042060	F10
wound_healing	GO:0042060	F11
wound_healing	GO:0042060	F11R
wound_healing	GO:0042060	F12
wound_healing	GO:0042060	F13A1
wound_healing	GO:0042060	F13B
wound_healing	GO:0042060	F2
wound_healing	GO:0042060	F2R
wound_healing	GO:0042060	F2RL1
wound_healing	GO:0042060	F2RL2
wound_healing	GO:0042060	F2RL3
wound_healing	GO:0042060	F3
wound_healing	GO:0042060	F5
wound_healing	GO:0042060	F7
wound_healing	GO:0042060	F8
wound_healing	GO:0042060	F9
wound_healing	GO:0042060	FAP
wound_healing	GO:0042060	FBLN1
wound_healing	GO:0042060	FCER1G
wound_healing	GO:0042060	FERMT1
wound_healing	GO:0042060	FERMT2
wound_healing	GO:0042060	FGA
wound_healing	GO:0042060	FGB
wound_healing	GO:0042060	FGF1
wound_healing	GO:0042060	FGF2
wound_healing	GO:0042060	FGFR2
wound_healing	GO:0042060	FGG
wound_healing	GO:0042060	FIBP
wound_healing	GO:0042060	FKBP10
wound_healing	GO:0042060	FLNA
wound_healing	GO:0042060	FN1
wound_healing	GO:0042060	FOXA2
wound_healing	GO:0042060	FOXC2
wound_healing	GO:0042060	FZD6
wound_healing	GO:0042060	FZD7
wound_healing	GO:0042060	GAS6
wound_healing	GO:0042060	GATA1
wound_healing	GO:0042060	GATA2
wound_healing	GO:0042060	GATA4
wound_healing	GO:0042060	GGCX
wound_healing	GO:0042060	GLI3
wound_healing	GO:0042060	GNA12
wound_healing	GO:0042060	GNA13
wound_healing	GO:0042060	GNAQ
wound_healing	GO:0042060	GNAS
wound_healing	GO:0042060	GP1BA
wound_healing	GO:0042060	GP5
wound_healing	GO:0042060	GP6
wound_healing	GO:0042060	GP9
wound_healing	GO:0042060	GPR4
wound_healing	GO:0042060	GPX1
wound_healing	GO:0042060	HBB
wound_healing	GO:0042060	HBEGF
wound_healing	GO:0042060	HGFAC
wound_healing	GO:0042060	HIF1A
wound_healing	GO:0042060	HMOX1
wound_healing	GO:0042060	HNF4A
wound_healing	GO:0042060	HPS4
wound_healing	GO:0042060	HPS5
wound_healing	GO:0042060	HPS6
wound_healing	GO:0042060	HPSE
wound_healing	GO:0042060	HRAS
wound_healing	GO:0042060	HRG
wound_healing	GO:0042060	HSPB1
wound_healing	GO:0042060	IGF1
wound_healing	GO:0042060	IL1A
wound_healing	GO:0042060	IL24
wound_healing	GO:0042060	IL33
wound_healing	GO:0042060	IL6
wound_healing	GO:0042060	IL6ST
wound_healing	GO:0042060	ILK
wound_healing	GO:0042060	INS
wound_healing	GO:0042060	INSL3
wound_healing	GO:0042060	ITGA2
wound_healing	GO:0042060	ITGA5
wound_healing	GO:0042060	ITGB1
wound_healing	GO:0042060	ITGB3
wound_healing	GO:0042060	ITPK1
wound_healing	GO:0042060	JAK2
wound_healing	GO:0042060	JMJD1C
wound_healing	GO:0042060	KANK1
wound_healing	GO:0042060	KDR
wound_healing	GO:0042060	KLKB1
wound_healing	GO:0042060	KNG1
wound_healing	GO:0042060	KRT1
wound_healing	GO:0042060	KRT6A
wound_healing	GO:0042060	LCK
wound_healing	GO:0042060	LMAN1
wound_healing	GO:0042060	LOX
wound_healing	GO:0042060	LYN
wound_healing	GO:0042060	MACF1
wound_healing	GO:0042060	MAP3K5
wound_healing	GO:0042060	MAPK14
wound_healing	GO:0042060	MCAM
wound_healing	GO:0042060	MERTK
wound_healing	GO:0042060	METAP1
wound_healing	GO:0042060	MIA3
wound_healing	GO:0042060	MMP12
wound_healing	GO:0042060	MMRN1
wound_healing	GO:0042060	MPL
wound_healing	GO:0042060	MSX2
wound_healing	GO:0042060	MTOR
wound_healing	GO:0042060	MYH9
wound_healing	GO:0042060	MYL12A
wound_healing	GO:0042060	MYL9
wound_healing	GO:0042060	MYLK
wound_healing	GO:0042060	MYOF
wound_healing	GO:0042060	MYOZ1
wound_healing	GO:0042060	NDNF
wound_healing	GO:0042060	NF1
wound_healing	GO:0042060	NFE2L2
wound_healing	GO:0042060	NOS3
wound_healing	GO:0042060	NOTCH2
wound_healing	GO:0042060	NOTCH4
wound_healing	GO:0042060	NRG1
wound_healing	GO:0042060	OCLN
wound_healing	GO:0042060	ODAM
wound_healing	GO:0042060	OPRM1
wound_healing	GO:0042060	P2RX1
wound_healing	GO:0042060	P2RY1
wound_healing	GO:0042060	PAFAH2
wound_healing	GO:0042060	PAK1
wound_healing	GO:0042060	PAPSS2
wound_healing	GO:0042060	PDCD10
wound_healing	GO:0042060	PDGFA
wound_healing	GO:0042060	PDGFB
wound_healing	GO:0042060	PDGFRA
wound_healing	GO:0042060	PDGFRB
wound_healing	GO:0042060	PDPN
wound_healing	GO:0042060	PF4
wound_healing	GO:0042060	PF4V1
wound_healing	GO:0042060	PIK3CA
wound_healing	GO:0042060	PIK3CB
wound_healing	GO:0042060	PIK3CG
wound_healing	GO:0042060	PLA2G4A
wound_healing	GO:0042060	PLAT
wound_healing	GO:0042060	PLAU
wound_healing	GO:0042060	PLAUR
wound_healing	GO:0042060	PLCG2
wound_healing	GO:0042060	PLEC
wound_healing	GO:0042060	PLEK
wound_healing	GO:0042060	PLG
wound_healing	GO:0042060	PLSCR1
wound_healing	GO:0042060	PPARA
wound_healing	GO:0042060	PPARD
wound_healing	GO:0042060	PPARG
wound_healing	GO:0042060	PPIA
wound_healing	GO:0042060	PPL
wound_healing	GO:0042060	PPP3CA
wound_healing	GO:0042060	PRCP
wound_healing	GO:0042060	PRDX2
wound_healing	GO:0042060	PRKCA
wound_healing	GO:0042060	PRKCD
wound_healing	GO:0042060	PRKCE
wound_healing	GO:0042060	PRKCQ
wound_healing	GO:0042060	PRKG1
wound_healing	GO:0042060	PROC
wound_healing	GO:0042060	PROCR
wound_healing	GO:0042060	PROS1
wound_healing	GO:0042060	PROZ
wound_healing	GO:0042060	PTEN
wound_healing	GO:0042060	PTK2
wound_healing	GO:0042060	PTK7
wound_healing	GO:0042060	PTPN6
wound_healing	GO:0042060	RAB27A
wound_healing	GO:0042060	RAB3A
wound_healing	GO:0042060	RAF1
wound_healing	GO:0042060	RAP2B
wound_healing	GO:0042060	REG3A
wound_healing	GO:0042060	RHOA
wound_healing	GO:0042060	RHOC
wound_healing	GO:0042060	RREB1
wound_healing	GO:0042060	S100A10
wound_healing	GO:0042060	S100A8
wound_healing	GO:0042060	SCARB1
wound_healing	GO:0042060	SCRIB
wound_healing	GO:0042060	SDC1
wound_healing	GO:0042060	SDC4
wound_healing	GO:0042060	SELP
wound_healing	GO:0042060	SERPINA1
wound_healing	GO:0042060	SERPINA10
wound_healing	GO:0042060	SERPINB2
wound_healing	GO:0042060	SERPINC1
wound_healing	GO:0042060	SERPIND1
wound_healing	GO:0042060	SERPINE1
wound_healing	GO:0042060	SERPINE2
wound_healing	GO:0042060	SERPINF2
wound_healing	GO:0042060	SERPING1
wound_healing	GO:0042060	SH2B3
wound_healing	GO:0042060	SHH
wound_healing	GO:0042060	SLC11A1
wound_healing	GO:0042060	SLC12A2
wound_healing	GO:0042060	SLC4A1
wound_healing	GO:0042060	SLC7A11
wound_healing	GO:0042060	SMAD2
wound_healing	GO:0042060	SMAD3
wound_healing	GO:0042060	SMAD4
wound_healing	GO:0042060	SMPD1
wound_healing	GO:0042060	SPRR3
wound_healing	GO:0042060	SRC
wound_healing	GO:0042060	SRF
wound_healing	GO:0042060	SRSF6
wound_healing	GO:0042060	ST3GAL4
wound_healing	GO:0042060	STXBP1
wound_healing	GO:0042060	STXBP3
wound_healing	GO:0042060	SYK
wound_healing	GO:0042060	SYT11
wound_healing	GO:0042060	TBXA2R
wound_healing	GO:0042060	TEC
wound_healing	GO:0042060	TFPI
wound_healing	GO:0042060	TFPI2
wound_healing	GO:0042060	TGFA
wound_healing	GO:0042060	TGFB1
wound_healing	GO:0042060	TGFB2
wound_healing	GO:0042060	TGFB3
wound_healing	GO:0042060	TGFBR1
wound_healing	GO:0042060	TGFBR2
wound_healing	GO:0042060	THBD
wound_healing	GO:0042060	THBS1
wound_healing	GO:0042060	TIMP1
wound_healing	GO:0042060	TLN1
wound_healing	GO:0042060	TLR4
wound_healing	GO:0042060	TNF
wound_healing	GO:0042060	TNFAIP3
wound_healing	GO:0042060	TNFRSF12A
wound_healing	GO:0042060	TOR1A
wound_healing	GO:0042060	TPM1
wound_healing	GO:0042060	TSKU
wound_healing	GO:0042060	TSPAN32
wound_healing	GO:0042060	TSPAN8
wound_healing	GO:0042060	TXK
wound_healing	GO:0042060	TYRO3
wound_healing	GO:0042060	VAV1
wound_healing	GO:0042060	VAV2
wound_healing	GO:0042060	VAV3
wound_healing	GO:0042060	VCL
wound_healing	GO:0042060	VEGFA
wound_healing	GO:0042060	VIL1
wound_healing	GO:0042060	VKORC1
wound_healing	GO:0042060	VPS33B
wound_healing	GO:0042060	VPS4A
wound_healing	GO:0042060	VPS4B
wound_healing	GO:0042060	VWF
wound_healing	GO:0042060	WAS
wound_healing	GO:0042060	WFDC1
