"Package","Version","Priority","Built"
"plm","2.6-3",NA,"4.2.3"
"plogr","0.2.0",NA,"4.2.3"
"plotly","4.10.1",NA,"4.2.3"
"plotrix","3.8-2",NA,"4.2.0"
"plyr","1.8.9",NA,"4.2.3"
"PMCMRplus","1.9.6",NA,"4.2.3"
"png","0.1-8",NA,"4.2.2"
"polspline","1.1.22",NA,"4.2.2"
"polyclip","1.10-7",NA,"4.2.3"
"polynom","1.4-1",NA,"4.2.3"
"praise","1.0.0",NA,"4.2.3"
"preprocessCore","1.60.2",NA,"4.2.2"
"prettyunits","1.2.0",NA,"4.2.3"
"pROC","1.18.2",NA,"4.2.3"
"processx","3.8.1",NA,"4.2.3"
"profvis","0.3.8",NA,"4.2.3"
"progress","1.2.3",NA,"4.2.3"
"promises","1.2.0.1",NA,"4.2.3"
"proxy","0.4-27",NA,"4.2.3"
"ps","1.7.5",NA,"4.2.3"
"psych","2.3.3",NA,"4.2.3"
"purrr","1.0.1",NA,"4.2.3"
"quantreg","5.95",NA,"4.2.3"
"qvalue","2.30.0",NA,"4.2.1"
"R6","2.5.1",NA,"4.2.3"
"RadialMR","1.1",NA,"4.2.3"
"ragg","1.2.5",NA,"4.2.3"
"randomForest","4.7-1.1",NA,"4.2.3"
"ranger","0.15.1",NA,"4.2.3"
"rappdirs","0.3.3",NA,"4.2.3"
"rbibutils","2.2.13",NA,"4.2.3"
"rcmdcheck","1.4.0",NA,"4.2.3"
"RColorBrewer","1.1-3",NA,"4.2.0"
"Rcpp","1.1.1-1.1",NA,"4.2.3"
"RcppArmadillo","0.12.6.6.1",NA,"4.2.3"
"RcppEigen","0.3.3.9.3",NA,"4.2.3"
"RCurl","1.98-1.12",NA,"4.2.3"
"Rdpack","2.4",NA,"4.2.3"
"readr","2.1.4",NA,"4.2.3"
"readxl","1.4.2",NA,"4.2.3"
"rematch","2.0.0",NA,"4.2.3"
"rematch2","2.1.2",NA,"4.2.3"
"remotes","2.5.0",NA,"4.2.3"
"reprex","2.0.2",NA,"4.2.3"
"reshape","0.8.9",NA,"4.2.3"
"reshape2","1.4.4",NA,"4.2.3"
"rgl","1.1.3",NA,"4.2.3"
"rhdf5","2.42.1",NA,"4.2.3"
"rhdf5filters","1.10.1",NA,"4.2.3"
"Rhdf5lib","1.20.0",NA,"4.2.1"
"rio","0.5.29",NA,"4.2.3"
"rjson","0.2.21",NA,"4.2.0"
"rlang","1.1.1",NA,"4.2.3"
"rmarkdown","2.21",NA,"4.2.3"
"Rmpfr","0.9-2",NA,"4.2.3"
"rms","6.6-0",NA,"4.2.3"
"rngtools","1.5.2",NA,"4.2.3"
"robust","0.7-1",NA,"4.2.3"
"robustbase","0.95-1",NA,"4.2.3"
"rootSolve","1.8.2.4",NA,"4.2.3"
"roxygen2","7.2.3",NA,"4.2.3"
"rprojroot","2.0.3",NA,"4.2.3"
"rrcov","1.7-2",NA,"4.2.3"
"RSQLite","2.3.6",NA,"4.2.3"
"rstatix","0.7.2",NA,"4.2.3"
"rstudioapi","0.14",NA,"4.2.3"
"rsvd","1.0.5",NA,"4.2.3"
"rversions","2.1.2",NA,"4.2.3"
"rvest","1.0.3",NA,"4.2.3"
"S4Vectors","0.36.2",NA,"4.2.2"
"S7","0.2.2",NA,"4.2.3"
"sandwich","3.0-2",NA,"4.2.3"
"sass","0.4.6",NA,"4.2.3"
"ScaledMatrix","1.6.0",NA,"4.2.1"
"scales","1.4.0",NA,"4.2.3"
"scatterpie","0.2.6",NA,"4.2.3"
"scatterplot3d","0.3-44",NA,"4.2.3"
"sdpt3r","0.3",NA,"4.2.3"
"selectr","0.4-2",NA,"4.2.3"
"sessioninfo","1.2.2",NA,"4.2.3"
"shadowtext","0.1.6",NA,"4.2.3"
"shape","1.4.6.1",NA,"4.2.3"
"shiny","1.7.4",NA,"4.2.3"
"SingleCellExperiment","1.20.1",NA,"4.2.2"
"sjlabelled","1.2.0",NA,"4.2.3"
"sjmisc","2.8.9",NA,"4.2.3"
"sjPlot","2.8.14",NA,"4.2.3"
"sjstats","0.18.2",NA,"4.2.3"
"snow","0.4-4",NA,"4.2.3"
"sourcetools","0.1.7-1",NA,"4.2.3"
"sp","1.6-0",NA,"4.2.3"
"SparseM","1.81",NA,"4.2.0"
"sparseMatrixStats","1.10.0",NA,"4.2.1"
"stargazer","5.2.3",NA,"4.2.0"
"statmod","1.5.0",NA,"4.2.3"
"stringdist","0.9.10",NA,"4.2.2"
"stringi","1.7.12",NA,"4.2.2"
"stringr","1.5.0",NA,"4.2.3"
"SummarizedExperiment","1.28.0",NA,"4.2.1"
"SuppDists","1.1-9.7",NA,"4.2.3"
"survival","3.5-5","recommended","4.2.3"
"svglite","2.1.1",NA,"4.2.3"
"svUnit","1.0.6",NA,"4.2.3"
"sys","3.4.1",NA,"4.2.3"
"systemfonts","1.3.2",NA,"4.2.3"
"testthat","3.1.8",NA,"4.2.3"
"textshaping","0.3.6",NA,"4.2.3"
"TH.data","1.1-2",NA,"4.2.3"
"tibble","3.2.1",NA,"4.2.3"
"tidygraph","1.3.1",NA,"4.2.3"
"tidyr","1.3.0",NA,"4.2.3"
"tidyselect","1.2.1",NA,"4.2.3"
"tidytree","0.4.7",NA,"4.2.3"
"tidyverse","2.0.0",NA,"4.2.3"
"timechange","0.2.0",NA,"4.2.3"
"tinytex","0.45",NA,"4.2.3"
"tmcn","0.2-13",NA,"4.2.3"
"transformr","0.1.5",NA,"4.2.3"
"treeio","1.22.0",NA,"4.2.1"
"truncnorm","1.0-9",NA,"4.2.3"
"tweenr","2.0.3",NA,"4.2.3"
"TwoSampleMR","0.5.8",NA,"4.2.3"
"tzdb","0.3.0",NA,"4.2.3"
"urlchecker","1.0.1",NA,"4.2.3"
"useful","1.2.6",NA,"4.2.3"
"usethis","2.2.2",NA,"4.2.3"
"utf8","1.2.3",NA,"4.2.3"
"utilsIPEA","0.0.6",NA,"4.2.3"
"uuid","1.1-0",NA,"4.2.0"
"vcd","1.4-11",NA,"4.2.3"
"vctrs","0.6.2",NA,"4.2.3"
"vegan","2.6-4",NA,"4.2.3"
"VGAM","1.1-8",NA,"4.2.3"
"VIM","6.2.2",NA,"4.2.3"
"viridis","0.6.5",NA,"4.2.3"
"viridisLite","0.4.2",NA,"4.2.3"
"vroom","1.6.3",NA,"4.2.3"
"waldo","0.5.0",NA,"4.2.3"
"webshot","0.5.5",NA,"4.2.3"
"whisker","0.4.1",NA,"4.2.3"
"withr","2.5.0",NA,"4.2.3"
"wordcloud2","0.2.1",NA,"4.2.3"
"xfun","0.39",NA,"4.2.3"
"XML","3.99-0.23",NA,"4.2.3"
"xml2","1.3.4",NA,"4.2.3"
"xopen","1.0.1",NA,"4.2.3"
"xtable","1.8-4",NA,"4.2.3"
"xts","0.13.1",NA,"4.2.3"
"XVector","0.38.0",NA,"4.2.1"
"yaml","2.3.7",NA,"4.2.3"
"yulab.utils","0.2.4",NA,"4.2.3"
"zip","2.3.0",NA,"4.2.3"
"zlibbioc","1.44.0",NA,"4.2.1"
"zoo","1.8-12",NA,"4.2.3"
"base","4.2.3","base","4.2.3"
"boot","1.3-28.1","recommended","4.2.3"
"class","7.3-21","recommended","4.2.3"
"cluster","2.1.4","recommended","4.2.3"
"codetools","0.2-19","recommended","4.2.3"
"compiler","4.2.3","base","4.2.3"
"datasets","4.2.3","base","4.2.3"
"foreign","0.8-84","recommended","4.2.3"
"graphics","4.2.3","base","4.2.3"
"grDevices","4.2.3","base","4.2.3"
"grid","4.2.3","base","4.2.3"
"KernSmooth","2.23-20","recommended","4.2.3"
"lattice","0.20-45","recommended","4.2.3"
"MASS","7.3-58.2","recommended","4.2.3"
"Matrix","1.5-3","recommended","4.2.3"
"methods","4.2.3","base","4.2.3"
"mgcv","1.8-42","recommended","4.2.3"
"nlme","3.1-162","recommended","4.2.3"
"nnet","7.3-18","recommended","4.2.3"
"parallel","4.2.3","base","4.2.3"
"rpart","4.1.19","recommended","4.2.3"
"spatial","7.3-16","recommended","4.2.3"
"splines","4.2.3","base","4.2.3"
"stats","4.2.3","base","4.2.3"
"stats4","4.2.3","base","4.2.3"
"survival","3.5-3","recommended","4.2.3"
"tcltk","4.2.3","base","4.2.3"
"tools","4.2.3","base","4.2.3"
"translations","4.2.3",NA,"4.2.3"
"utils","4.2.3","base","4.2.3"
