gene_symbol,log2FC_AA_minus_HN,AveExpr,t,P.Value,adj.P.Val,B,DEG_status,FDR_only,primary_DEG,direction
CCR9,0.0361406479841269,2.1161647670625,1.59934421465815,0.130315846379231,0.25205378827196,-4.93513235568711,not_DEG,FALSE,FALSE,up
CCRL2,-0.99185503631746,3.5330429515,-1.37922064451946,0.187779714665574,0.324975459297786,-5.22382007206478,not_DEG,FALSE,FALSE,down
CCRN4L,0.0619765387777777,2.3103531500625,1.29206054363074,0.215632195122063,0.356132309095238,-5.32914682894939,not_DEG,FALSE,FALSE,up
CCS,-0.0804495598571431,3.2670067864375,-1.91695554716504,0.0742340136411917,0.174552880276618,-4.46833450904807,not_DEG,FALSE,FALSE,down
CCSER2,-0.307838197761905,3.0159323601875,-2.31633502384579,0.0348903721866349,0.107718872988609,-3.81452181302073,not_DEG,FALSE,FALSE,down
CCT2,-0.222318423142858,8.182885183125,-1.16346428966991,0.262577262926628,0.407661816893824,-5.47446175735035,not_DEG,FALSE,FALSE,down
CCT4,-0.0337867358730151,8.3153598635,-0.225877915182193,0.824304934226388,0.884205694600195,-6.10631512494888,not_DEG,FALSE,FALSE,down
CCT5,-0.113057286269841,7.6442784371875,-0.760765682469086,0.458434858168058,0.597732740874428,-5.84375518974311,not_DEG,FALSE,FALSE,down
CCT6A,0.146646722190477,6.411614405375,0.643305116321572,0.529610871000116,0.661262573234994,-5.92480647887465,not_DEG,FALSE,FALSE,up
CCT6B,0.0873595645396827,4.247297536625,0.342243479605401,0.73685319688399,0.82224271267373,-6.07290786352516,not_DEG,FALSE,FALSE,up
CCT7,-0.325279764603175,6.469146397125,-1.49783484204213,0.154650048132472,0.284374251530532,-5.07213579030631,not_DEG,FALSE,FALSE,down
CCT8,-0.490122585904761,7.904141762,-2.5110369953555,0.0238008695197842,0.0859149893445752,-3.47527380228193,not_DEG,FALSE,FALSE,down
CCT8L2,0.0770178086666666,2.512735498375,2.53508028557761,0.0226910885674691,0.0836383925546516,-3.43263489941758,not_DEG,FALSE,FALSE,up
CCZ1,0.225101818222222,3.13261709575,1.58988997095084,0.132435594969147,0.255131185333623,-4.94816047427683,not_DEG,FALSE,FALSE,up
CCZ1B,0.116111257873016,2.647511182125,2.36335326460474,0.0318353112794954,0.101871372258054,-3.73364789166855,not_DEG,FALSE,FALSE,up
CD101,-0.170557338904762,2.7765220384375,-1.11142731380099,0.283652682656855,0.430609825686093,-5.52969001996235,not_DEG,FALSE,FALSE,down
CD14,-1.55550367330159,5.332167924625,-1.70536932579288,0.108467782000089,0.222996110233511,-4.78542448633356,not_DEG,FALSE,FALSE,down
CD151,-0.607903311634921,4.9322159630625,-1.9740304845243,0.0668346792926072,0.163034021626093,-4.37899314815852,not_DEG,FALSE,FALSE,down
CD160,0.162252364333333,2.9633755139375,2.90727725117011,0.0107153004126042,0.0541905121928708,-2.75617556628871,not_DEG,FALSE,FALSE,up
CD163,-0.95548791984127,5.283532724375,-1.17947399810687,0.256338270630218,0.400283295780628,-5.45704843802418,not_DEG,FALSE,FALSE,down
CD164,-0.0674082312222203,9.7398680889375,-0.376630513440295,0.711652891134298,0.804859277543,-6.06045486668965,not_DEG,FALSE,FALSE,down
CD177,-0.17479384,2.589086457,-0.958863199415393,0.352629651398215,0.497967837489409,-5.679115229887,not_DEG,FALSE,FALSE,down
CD180,0.0374970600158733,2.5732781416875,1.29068627607825,0.216096355032302,0.3566172519519,-5.33076429254571,not_DEG,FALSE,FALSE,up
CD19,0.257213507396825,2.793506053625,0.984007468130157,0.340513751851687,0.485778489607681,-5.655804234882,not_DEG,FALSE,FALSE,up
CD1A,0.033725413730159,2.0838838749375,1.54449641005573,0.143026563574361,0.269533537573972,-5.0099543989361,not_DEG,FALSE,FALSE,up
CD1B,0.0487978178412695,2.37445353125,2.04963138284766,0.0580631246743729,0.148058212791333,-4.25838409269379,not_DEG,FALSE,FALSE,up
CD1C,0.00111495898412682,2.727763213,0.0107387628296531,0.991571526700079,0.995061020995433,-6.13214262535638,not_DEG,FALSE,FALSE,up
CD1D,0.308236381476191,2.9602949594375,2.65295812659529,0.0179294923064728,0.0730393960939333,-3.22151548698029,not_DEG,FALSE,FALSE,up
CD1E,0.202997401412699,2.8031321894375,3.13036439093329,0.00678596258544181,0.0421686103751629,-2.33982009093677,not_DEG,TRUE,FALSE,up
CD2,-0.629288014920635,4.99004076575,-1.61352107604844,0.127191567803734,0.248451703226796,-4.91549575412244,not_DEG,FALSE,FALSE,down
CD200,0.0679298712698416,2.569125461875,1.74894294640135,0.100456275195778,0.211409742516174,-4.72204844237851,not_DEG,FALSE,FALSE,up
CD207,0.0580488059523809,2.3060375890625,1.84816120492526,0.0841258183300919,0.189026977540771,-4.57395097414765,not_DEG,FALSE,FALSE,up
CD209,0.0490530737460316,3.147921642125,0.690683996531062,0.500174345735016,0.635512659841747,-5.89363993478872,not_DEG,FALSE,FALSE,up
CD22,0.326887724269841,3.1778469791875,2.98553907302601,0.00913261294647221,0.0493909028618046,-2.61081779875985,not_DEG,TRUE,FALSE,up
CD226,0.270254819460317,3.033533921375,3.32315575576327,0.00456216030600581,0.0356422324778673,-1.97608468713483,not_DEG,TRUE,FALSE,up
CD24,0.196972065396827,11.5179251725,1.24137754322381,0.233279135731692,0.37611839064836,-5.38788876551218,not_DEG,FALSE,FALSE,up
CD244,0.0378059894285714,2.264883718625,1.59397980134344,0.131515026839658,0.253708339753564,-4.94253123259872,not_DEG,FALSE,FALSE,up
CD247,-0.0274478866825397,2.7067661063125,-0.153035591538284,0.880382933030701,0.923052115044389,-6.12030756915225,not_DEG,FALSE,FALSE,down
CD248,0.0281665574603175,2.311562713,0.649403365352909,0.52576825163616,0.657899765268419,-5.92091189084049,not_DEG,FALSE,FALSE,up
CD27,-0.118298408190476,3.05352170125,-0.553722711183102,0.587820827843735,0.711017827721521,-5.9779883555742,not_DEG,FALSE,FALSE,down
CD28,0.195788878619047,2.6991610779375,3.94466469943223,0.00126725161622187,0.0251913490861422,-0.796539089440045,not_DEG,TRUE,FALSE,up
CD2AP,0.28124357515873,5.3161927223125,2.36633164900412,0.0316505291502206,0.101513085186048,-3.72850117569151,not_DEG,FALSE,FALSE,up
CD2BP2,-0.564053608428571,4.9210435196875,-2.74257829171844,0.0149687845551948,0.0658605337165107,-3.05892122270878,not_DEG,FALSE,FALSE,down
CD300A,-0.764821666952381,2.877189267625,-2.4309263830611,0.027883630219797,0.0943262087807475,-3.61621253546567,not_DEG,FALSE,FALSE,down
CD300C,0.0380897772380952,2.365991659125,1.15559612742663,0.265685505508111,0.41068818992365,-5.48294750742971,not_DEG,FALSE,FALSE,up
CD320,-0.0912218006666664,2.493893955125,-1.21367246132273,0.243391821021664,0.386710585804399,-5.41919767474408,not_DEG,FALSE,FALSE,down
CD33,-0.169413013380952,2.6401047986875,-0.927343071651432,0.368237524116014,0.513135963469972,-5.70758510264738,not_DEG,FALSE,FALSE,down
CD34,0.0353010185238098,2.2194714200625,1.53545986864473,0.145218268104167,0.272113417331662,-5.02210371212976,not_DEG,FALSE,FALSE,up
CD36,-0.10018560931746,3.1328925071875,-0.349234227970777,0.731703632500737,0.818900220712536,-6.07047104603746,not_DEG,FALSE,FALSE,down
CD37,-0.0231746192698411,2.860286254375,-0.0870680189289256,0.931753903891984,0.955358031554525,-6.12834925102179,not_DEG,FALSE,FALSE,down
CD38,-0.0856673580158722,5.4131809776875,-0.157246548944689,0.87711992427385,0.920812985897188,-6.11964459074655,not_DEG,FALSE,FALSE,down
CD3D,-0.785098093666667,5.4169300473125,-1.668642094296,0.115647049012823,0.233133599608595,-4.83801926224537,not_DEG,FALSE,FALSE,down
CD3E,5.49985873015102e-05,1.9742325155625,0.00292357187324134,0.997705348817733,0.998421519509977,-6.13219689329823,not_DEG,FALSE,FALSE,up
CD3EAP,0.0716495947777776,2.9531005480625,0.497814961805941,0.625737942910126,0.739208546247373,-6.00730838781885,not_DEG,FALSE,FALSE,up
CD3G,-0.0361776938253969,2.4754052719375,-0.179442058093328,0.859960333712288,0.908534901955983,-6.11585384796846,not_DEG,FALSE,FALSE,down
CD4,-0.505937608444443,3.67567985725,-1.95799275746346,0.0688434391781974,0.166335188016338,-4.40425022367036,not_DEG,FALSE,FALSE,down
CD40,-0.243723930095239,4.25848775075,-1.12472619730321,0.278149803216423,0.424412693780427,-5.515776718877,not_DEG,FALSE,FALSE,down
CD40LG,0.0658781446984128,2.18529136925,2.41478490369158,0.0287830342054509,0.0960225286295645,-3.64438952389555,not_DEG,FALSE,FALSE,up
CD44,-0.624783774285714,6.11253181825,-0.934313102973295,0.364745934340058,0.509969605322565,-5.70136209558717,not_DEG,FALSE,FALSE,down
CD46,-0.187128964365079,7.1185676856875,-0.598993161018971,0.557998325755623,0.68484838044173,-5.95205985116942,not_DEG,FALSE,FALSE,down
CD47,-0.28419108431746,7.5970693835,-0.79248369939397,0.440270698220692,0.581175849613364,-5.81971552035342,not_DEG,FALSE,FALSE,down
CD48,-0.141010271888888,4.9527421000625,-0.206876724640474,0.838851453698619,0.894000610681779,-6.1104809720582,not_DEG,FALSE,FALSE,down
CD5,-0.0327846138253965,2.7545824684375,-0.466969543272927,0.647143903028034,0.756800685179676,-6.02219481537456,not_DEG,FALSE,FALSE,down
CD52,-0.534529608666668,7.255417947125,-0.711000190897471,0.487849929965808,0.625389842041344,-5.87964042559829,not_DEG,FALSE,FALSE,down
CD53,-0.788190469682539,6.724791312375,-0.971658614216752,0.346427003776984,0.491365545601381,-5.66731888295511,not_DEG,FALSE,FALSE,down
CD55,-0.397196483015873,7.564483344875,-1.0341104946118,0.317254974419129,0.463777020160412,-5.60778903958155,not_DEG,FALSE,FALSE,down
CD58,-0.688780257857143,5.4631679298125,-1.72874636863975,0.104102904740685,0.216739027816198,-4.75155349437896,not_DEG,FALSE,FALSE,down
