method_id	score_source	scaling	centroid_source	distance	nasal_E1	nasal_E2	nasal_E3	tracheal_E1	tracheal_E2	tracheal_E3	exact_manuscript_match	absolute_count_error
log2CPM_T2_fixed_IFN__locked_final_VST__cohort_z__correlation	log2CPM_T2_fixed_IFN	cohort_z	locked_final_VST	correlation	23	12	20	15	19	15	FALSE	46
log2CPM_recomputed__locked_final_VST__cohort_z__correlation	log2CPM_recomputed	cohort_z	locked_final_VST	correlation	23	12	20	15	19	15	FALSE	46
VST_locked__locked_final_VST__cohort_z__correlation	VST_locked	cohort_z	locked_final_VST	correlation	24	12	19	17	17	15	FALSE	48
VST_locked__log2CPM__none__correlation	VST_locked	none	log2CPM	correlation	18	37	0	16	33	0	FALSE	48
historical_rawcount_existing_repair__log2CPM__none__correlation	historical_rawcount_existing_repair	none	log2CPM	correlation	18	37	0	16	33	0	FALSE	48
historical_rawcount_fixed32__locked_final_VST__cohort_z__correlation	historical_rawcount_fixed32	cohort_z	locked_final_VST	correlation	24	12	19	17	17	15	FALSE	48
historical_rawcount_fixed32__log2CPM__none__correlation	historical_rawcount_fixed32	none	log2CPM	correlation	18	37	0	16	33	0	FALSE	48
log2CPM_T2_fixed_IFN__log2CPM__tissue_specific_z__correlation	log2CPM_T2_fixed_IFN	tissue_specific_z	log2CPM	correlation	19	19	17	20	16	13	FALSE	48
log2CPM_recomputed__locked_final_VST__tissue_specific_z__correlation	log2CPM_recomputed	tissue_specific_z	locked_final_VST	correlation	22	15	18	19	16	14	FALSE	48
log2CPM_recomputed__log2CPM__cohort_z__correlation	log2CPM_recomputed	cohort_z	log2CPM	correlation	22	21	12	19	13	17	FALSE	48
log2CPM_T2_fixed_IFN__locked_final_VST__tissue_specific_z__correlation	log2CPM_T2_fixed_IFN	tissue_specific_z	locked_final_VST	correlation	21	15	19	18	16	15	FALSE	50
log2CPM_recomputed__historical_rawcount__cohort_z__correlation	log2CPM_recomputed	cohort_z	historical_rawcount	correlation	26	10	19	20	16	13	FALSE	50
VST_locked__locked_final_VST__GSE152004_reference_scaling__euclidean	VST_locked	GSE152004_reference_scaling	locked_final_VST	euclidean	12	30	13	7	31	11	FALSE	52
historical_rawcount_existing_repair__locked_final_VST__cohort_z__correlation	historical_rawcount_existing_repair	cohort_z	locked_final_VST	correlation	21	14	20	18	16	15	FALSE	52
historical_rawcount_fixed32__locked_final_VST__GSE152004_reference_scaling__euclidean	historical_rawcount_fixed32	GSE152004_reference_scaling	locked_final_VST	euclidean	12	30	13	7	31	11	FALSE	52
log2CPM_T2_fixed_IFN__historical_rawcount__tissue_specific_z__correlation	log2CPM_T2_fixed_IFN	tissue_specific_z	historical_rawcount	correlation	21	17	17	22	13	14	FALSE	52
log2CPM_recomputed__log2CPM__tissue_specific_z__correlation	log2CPM_recomputed	tissue_specific_z	log2CPM	correlation	19	19	17	21	14	14	FALSE	52
VST_locked__locked_final_VST__tissue_specific_z__correlation	VST_locked	tissue_specific_z	locked_final_VST	correlation	20	15	20	19	15	15	FALSE	54
historical_rawcount_fixed32__locked_final_VST__tissue_specific_z__correlation	historical_rawcount_fixed32	tissue_specific_z	locked_final_VST	correlation	20	15	20	19	15	15	FALSE	54
log2CPM_recomputed__historical_rawcount__tissue_specific_z__correlation	log2CPM_recomputed	tissue_specific_z	historical_rawcount	correlation	20	16	19	21	14	14	FALSE	54
VST_locked__historical_rawcount__cohort_z__correlation	VST_locked	cohort_z	historical_rawcount	correlation	27	10	18	22	12	15	FALSE	56
historical_rawcount_existing_repair__historical_rawcount__cohort_z__correlation	historical_rawcount_existing_repair	cohort_z	historical_rawcount	correlation	26	12	17	22	11	16	FALSE	56
historical_rawcount_existing_repair__locked_final_VST__tissue_specific_z__correlation	historical_rawcount_existing_repair	tissue_specific_z	locked_final_VST	correlation	20	14	21	19	15	15	FALSE	56
historical_rawcount_fixed32__historical_rawcount__cohort_z__correlation	historical_rawcount_fixed32	cohort_z	historical_rawcount	correlation	27	10	18	22	12	15	FALSE	56
log2CPM_recomputed__log2CPM__GSE152004_reference_scaling__euclidean	log2CPM_recomputed	GSE152004_reference_scaling	log2CPM	euclidean	10	38	7	7	34	8	FALSE	56
historical_rawcount_existing_repair__historical_rawcount__GSE152004_reference_scaling__manhattan	historical_rawcount_existing_repair	GSE152004_reference_scaling	historical_rawcount	manhattan	9	25	21	7	30	12	FALSE	58
log2CPM_recomputed__log2CPM__GSE152004_reference_scaling__correlation	log2CPM_recomputed	GSE152004_reference_scaling	log2CPM	correlation	13	28	14	11	21	17	FALSE	58
VST_locked__historical_rawcount__GSE152004_reference_scaling__manhattan	VST_locked	GSE152004_reference_scaling	historical_rawcount	manhattan	10	32	13	5	33	11	FALSE	60
VST_locked__historical_rawcount__tissue_specific_z__correlation	VST_locked	tissue_specific_z	historical_rawcount	correlation	22	14	19	24	11	14	FALSE	60
VST_locked__locked_final_VST__GSE152004_reference_scaling__manhattan	VST_locked	GSE152004_reference_scaling	locked_final_VST	manhattan	9	31	15	6	33	10	FALSE	60
historical_rawcount_fixed32__historical_rawcount__GSE152004_reference_scaling__manhattan	historical_rawcount_fixed32	GSE152004_reference_scaling	historical_rawcount	manhattan	10	32	13	5	33	11	FALSE	60
historical_rawcount_fixed32__historical_rawcount__tissue_specific_z__correlation	historical_rawcount_fixed32	tissue_specific_z	historical_rawcount	correlation	22	14	19	24	11	14	FALSE	60
historical_rawcount_fixed32__locked_final_VST__GSE152004_reference_scaling__manhattan	historical_rawcount_fixed32	GSE152004_reference_scaling	locked_final_VST	manhattan	9	31	15	6	33	10	FALSE	60
log2CPM_recomputed__log2CPM__GSE152004_reference_scaling__manhattan	log2CPM_recomputed	GSE152004_reference_scaling	log2CPM	manhattan	9	40	6	7	35	7	FALSE	60
historical_rawcount_existing_repair__historical_rawcount__tissue_specific_z__correlation	historical_rawcount_existing_repair	tissue_specific_z	historical_rawcount	correlation	23	12	20	23	11	15	FALSE	62
log2CPM_T2_fixed_IFN__log2CPM__GSE152004_reference_scaling__correlation	log2CPM_T2_fixed_IFN	GSE152004_reference_scaling	log2CPM	correlation	9	37	9	8	26	15	FALSE	62
VST_locked__historical_rawcount__GSE152004_reference_scaling__euclidean	VST_locked	GSE152004_reference_scaling	historical_rawcount	euclidean	8	34	13	5	34	10	FALSE	64
historical_rawcount_existing_repair__historical_rawcount__GSE152004_reference_scaling__euclidean	historical_rawcount_existing_repair	GSE152004_reference_scaling	historical_rawcount	euclidean	8	26	21	8	26	15	FALSE	64
