sample_id,CST1_z,CLCA1_z,SERPINB2_z,T2_score,T2_median,molecular_T2_status
HR1369,0.766822635376874,0.393540535939291,0.10535583968269,0.421906336999618,0.00414386701393426,high
HR1373,0.950375043154007,0.848993506932247,0.427112115054695,0.74216022171365,0.00414386701393426,high
HR1377,0.712132044058956,0.753673176766158,0.318270133723895,0.59469178484967,0.00414386701393426,high
HR1379,0.970055368039668,1.234003222966,0.409325632275693,0.871128074427121,0.00414386701393426,high
HR1381,1.17865063216915,2.36663421829282,1.51536910870684,1.68688465305627,0.00414386701393426,high
HR1382,1.06178197568432,1.92819324533448,1.11224814732979,1.36740778944953,0.00414386701393426,high
HR1383,0.516692954061193,-0.0493748212920887,-0.0916514346882897,0.125222232693605,0.00414386701393426,high
HR1384,-1.14300165358894,-1.03471939667274,-0.45089440341252,-0.876205151224733,0.00414386701393426,low
HR1386,-1.3880435852401,-0.882566295813004,-0.650422927987329,-0.973677603013478,0.00414386701393426,low
HR1387,-0.60940241314139,-0.868470256498406,-1.07266524558096,-0.850179305073584,0.00414386701393426,low
HR1389,0.206277282448761,-0.0142974224841339,-0.455512440147912,-0.0878441933944284,0.00414386701393426,low
HR1390,-1.20954175799051,-0.879583895281564,0.140457706445397,-0.649555982275558,0.00414386701393426,low
HR1391,1.15926972091613,1.05235510242178,1.32808902954198,1.17990461762663,0.00414386701393426,high
HR1392,-0.672167729301719,-0.841400612115346,-0.358476694326851,-0.624015011914639,0.00414386701393426,low
HR1393,0.915454232802857,0.831880732874096,0.167655074129823,0.638330013268926,0.00414386701393426,high
HR1394,1.14591922029671,1.15367321909783,0.919991677479949,1.07319470562483,0.00414386701393426,high
HR1395,0.981987199803948,0.494843403547869,-0.565342220826765,0.303829460841684,0.00414386701393426,high
HR1396,0.0313228367079026,-0.661868000947106,-0.770966564441264,-0.467170576226823,0.00414386701393426,low
HR1398,1.23348713169693,1.70447711595843,1.01389710583863,1.31728711783133,0.00414386701393426,high
HR1400,1.16668014269818,1.42082308888408,0.699906190926443,1.09580314083623,0.00414386701393426,high
HR1401,0.987939857870259,0.391719602827534,-1.54330523828426,-0.0545485925288232,0.00414386701393426,low
HR1402,0.71917840646995,0.464074245468137,-0.420339944974741,0.254304235654449,0.00414386701393426,high
HR1403,-1.18553360635587,-1.03471939667274,-0.435743676145972,-0.885332226391527,0.00414386701393426,low
HR1405,-0.00864176159525819,0.118887584774092,-0.47231763410817,-0.120690603643112,0.00414386701393426,low
HR1406,0.582644576782126,-0.496014042870294,-1.59289717719148,-0.502088881093215,0.00414386701393426,low
HR1407,-1.15685590426467,-0.889531698743349,-0.20226783299709,-0.749551812001703,0.00414386701393426,low
HR1408,0.102378321098149,-0.708334246564015,-0.887179213467276,-0.497711712977714,0.00414386701393426,low
HR1411,1.41187279877299,1.95008740660574,2.4105435768088,1.92416792739584,0.00414386701393426,high
HR1413,-1.41107321241639,-1.03471939667274,-1.23565449172647,-1.2271490336052,0.00414386701393426,low
HR1414,0.891104912982206,0.299526874728298,-0.111731306184267,0.359633493842079,0.00414386701393426,high
HR1415,-1.49027377872832,-1.03471939667274,0.0209756886145406,-0.834672495595506,0.00414386701393426,low
HR1416,0.621263665072895,-0.221205332686678,0.153515974944943,0.184524769110387,0.00414386701393426,high
HR1421,0.820255572331863,0.666667803790314,0.988475025860138,0.825132800660772,0.00414386701393426,high
HR1422,1.37791787640132,2.04777832018212,1.24483299740438,1.55684306466261,0.00414386701393426,high
HR1424,0.911815467844462,1.45664005225559,1.48611011974183,1.28485521328063,0.00414386701393426,high
HR1425,1.09609836370913,1.19614204970508,-0.325587549380151,0.655550954678018,0.00414386701393426,high
HR1428,0.813574141546459,1.2361933658685,0.136467433361128,0.728744980258694,0.00414386701393426,high
HR1435,1.20827180167353,1.00928704237301,0.937372762254289,1.05164386876694,0.00414386701393426,high
HR1437,0.757018630817712,0.693485865523464,0.583047396330793,0.677850630890656,0.00414386701393426,high
HR1441,1.02804560954023,1.29010531001098,1.4543307845432,1.2574939013648,0.00414386701393426,high
HR1451,-1.14588486897828,-0.73382807561887,0.126986762180067,-0.584242060805695,0.00414386701393426,low
HR1454,0.884208544120228,0.703830755158267,0.617980557052668,0.735339952110388,0.00414386701393426,high
HR1455,0.776678939172633,0.501503430979942,0.723283906888189,0.667155425680255,0.00414386701393426,high
HR1458,-1.22230090786121,-0.863436664508454,-0.713973842292439,-0.933237138220701,0.00414386701393426,low
HR1459,0.349734182888874,0.0891971913049902,0.262256090344034,0.233729154845966,0.00414386701393426,high
HR1460,1.11791436843558,1.12817645851705,0.830507265858575,1.02553269760374,0.00414386701393426,high
HR1461,0.29057456136769,0.166945008590337,-0.439427791148659,0.00603059293645603,0.00414386701393426,high
HR1464,0.288970931358915,0.240263388169639,0.573144480672446,0.367459600067,0.00414386701393426,high
HR1469,0.730559905132213,0.413477883422365,-0.125521344438722,0.339505481371952,0.00414386701393426,high
HR1474,-0.0638547745675194,-0.726118019358588,-0.758633173432644,-0.516201989119584,0.00414386701393426,low
HR1475,0.817108021100065,1.29987627440533,0.922626982063327,1.01320375918957,0.00414386701393426,high
HR1482,-0.131800104314886,-1.03471939667274,-0.338477948448147,-0.501665816478591,0.00414386701393426,low
HR1485,0.449582861711515,-0.205120527042151,0.694224810734678,0.31289571513468,0.00414386701393426,high
HR1487,-1.42598083197143,-0.921797596792672,-1.1414739189337,-1.16308411589926,0.00414386701393426,low
HR1489,0.972101486812585,-0.0124160793661622,0.732248614172284,0.563978007206236,0.00414386701393426,high
HR1490,-1.03826898417269,-1.03471939667274,-1.43727374384834,-1.17008737489792,0.00414386701393426,low
HR1551,0.819125180515578,0.797345759857134,0.712755252925896,0.776408731099536,0.00414386701393426,high
HR1552,-1.19769557320752,-1.03471939667274,0.0828746965154776,-0.716513424454926,0.00414386701393426,low
HR1554,0.860336776148675,0.579523151021493,-0.212848747458716,0.409003726570484,0.00414386701393426,high
HR1600,0.687475606140145,1.17729606229246,1.33986618259003,1.06821261700754,0.00414386701393426,high
HR1601,-1.07907626141708,-0.815037312557129,-1.11870657033214,-1.00427338143545,0.00414386701393426,low
HR1602,-1.16084221991,-1.03471939667274,-0.577605210996097,-0.92438894252628,0.00414386701393426,low
HR1603,0.175112796482563,-0.695041904202162,-0.851397230996621,-0.457108779572073,0.00414386701393426,low
HR1604,0.466773041212075,0.583860965741865,-0.492117117155985,0.186172296599318,0.00414386701393426,high
HR1605,1.03642018822367,0.810907139309217,0.482858251884445,0.776728526472445,0.00414386701393426,high
HR1606,-0.556073846862507,-1.03471939667274,-0.465276400765186,-0.685356548100144,0.00414386701393426,low
HR1607,0.813405835040666,0.746284116113304,-1.00993493016598,0.183251673662665,0.00414386701393426,high
HR1609,-1.03159455810554,-1.03471939667274,-0.531134507087013,-0.865816153955097,0.00414386701393426,low
HR1610,0.998345670090689,1.58449680043662,0.76680704936937,1.11654983996556,0.00414386701393426,high
HR1611,0.399182059609959,0.0693886086999668,0.291744066783665,0.253438245031197,0.00414386701393426,high
HR1612,0.761691224662124,0.404779871455616,-0.190737144316305,0.325244650600478,0.00414386701393426,high
HR1613,1.03493701832233,1.6868432497836,0.919299144638315,1.21369313758142,0.00414386701393426,high
HR1614,0.868685531759893,0.767223835369476,0.502539895540151,0.71281642088984,0.00414386701393426,high
HR1615,0.598882375108231,0.49292981766981,-0.671005745157515,0.140268815873509,0.00414386701393426,high
HR1616,1.26969027832793,1.58807117403353,1.76232630516606,1.54002925250917,0.00414386701393426,high
HR1617,0.836029551682585,0.68298852001458,-0.0820200448256136,0.478999342290517,0.00414386701393426,high
HR1618,-1.25381151449473,-1.03471939667274,-0.427098457182974,-0.905209789450148,0.00414386701393426,low
HR1619,1.17668969497994,1.32215636935072,1.10021807918612,1.19968804783893,0.00414386701393426,high
HR1620,0.77697221068015,-0.193426974279889,0.321045844812021,0.301530360404094,0.00414386701393426,high
HR1621,0.67515965041322,1.17058642126987,0.969278308266791,0.938341459983292,0.00414386701393426,high
HR1622,-1.02636858493547,-0.847657441086326,-1.11428040842904,-0.996102144816943,0.00414386701393426,low
HR1623,-1.23105064644839,-1.03471939667274,0.0313571115692351,-0.744804310517298,0.00414386701393426,low
HR1624,-1.41658281276524,-0.866024060461369,-1.00592645652409,-1.09617777658357,0.00414386701393426,low
HR1625,-0.74189332653822,-1.03471939667274,-0.937770179521857,-0.904794300910939,0.00414386701393426,low
HR1626,1.14184586886393,1.07671230582351,1.16942178299521,1.12932665256088,0.00414386701393426,high
HR1627,1.01121426548558,1.33316815656772,1.01154337734413,1.11864193313248,0.00414386701393426,high
HR1628,-1.49672466574552,-1.03471939667274,-1.509274918025,-1.34690632681442,0.00414386701393426,low
HR1629,1.06924755508,1.55293926194404,1.37955551277452,1.33391410993285,0.00414386701393426,high
HR1630,0.247821966307881,-0.886885563413019,-1.16833355394616,-0.6024657170171,0.00414386701393426,low
HR1631,0.703838737453727,-0.000306645702078415,0.11521003916708,0.272914043639576,0.00414386701393426,high
HR1632,0.94056298163109,0.249391729398411,-0.0337260966244445,0.385409538135019,0.00414386701393426,high
HR1633,0.786087140488275,1.50920510965758,1.46955639253416,1.25494954756001,0.00414386701393426,high
HR1634,-1.20745235405093,-1.03471939667274,-1.77666686368095,-1.33961287146821,0.00414386701393426,low
HR1635,-1.28100045849648,-0.905008493930288,-0.874058033302294,-1.02002232857636,0.00414386701393426,low
HR1636,1.04227188028961,0.774169335450922,1.22481812673463,1.01375311415839,0.00414386701393426,high
HR1637,0.982712871392556,0.347745564571054,-0.455232163226123,0.291742090912496,0.00414386701393426,high
HR1639,-1.52720067637163,-1.03471939667274,-0.771048153918696,-1.11098940898769,0.00414386701393426,low
HR1640,0.638506434280058,-0.567108350780381,0.525349499211339,0.198915860903672,0.00414386701393426,high
HR1641,-1.09135231356811,-0.827074503538504,-1.07533717390064,-0.997921330335751,0.00414386701393426,low
HR1642,-1.19180071689968,-0.921083958043223,-0.639472593563999,-0.917452422835634,0.00414386701393426,low
HR1643,0.992060752433355,1.21338073044233,0.933706748823677,1.04638274389979,0.00414386701393426,high
HR1644,1.42291921177537,1.91698007499013,1.91049756379145,1.75013228351898,0.00414386701393426,high
HR1645,1.21711974181081,1.42746279683661,0.442693159127378,1.02909189925827,0.00414386701393426,high
HR1646,-1.40999929379643,-0.812864427766711,-0.941794467523786,-1.05488606302898,0.00414386701393426,low
HR1647,1.00875406201418,0.958102415653968,1.82834333336389,1.26506660367735,0.00414386701393426,high
HR1649,0.879149938859422,0.303745886359032,0.113258429356299,0.432051418191584,0.00414386701393426,high
