sample_id,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
HR1411,-9.43652660051388,-40.9528939754968,10.7365567788567,6.08568569686105,-0.788708577374286,3.55619256800286,2.85312128786891,0.478175645203056,5.9622816368851,1.86588533114037
HR1413,-17.5900322657295,25.2500874367011,6.76821817840047,0.781603132626789,7.50095560161536,2.65274881183483,2.17421246435601,5.17514700125147,-1.38601818170262,-0.806312707751834
HR1414,-18.9283233250453,6.87370592615147,4.54397952973272,9.03539874538236,4.39686845224974,1.93538586116417,5.61452297111275,0.320740332497762,-5.16415983698974,-3.37376940907665
HR1415,-8.96678682384055,9.56968142180258,-3.90251360874132,16.877206267619,-13.029484024452,-1.30254979633682,-6.95728171570366,-0.489523581178261,-3.51869716355582,-0.357448038859826
HR1416,-14.481604151665,-8.18554917512868,-16.6406400540281,9.77287047074256,-9.29168326665987,4.6172752234164,-3.84657799684465,-8.55275810223895,-2.78353165261996,-4.75246986837673
HR1421,-23.4622692525781,-14.0086154200144,-13.1927076007085,0.122558664777549,-5.96488086475827,8.90161264602321,-1.97879996841662,-1.39802734929321,3.81085040988136,1.84461427095112
HR1422,-9.20471502017221,-34.380469068155,5.48746299300936,-4.11210692245102,-4.50274957450161,-2.27267845597446,3.2444840988449,7.23143354085503,1.78694570509717,-4.09017008769702
HR1424,7.85415055068874,-18.2026258916404,-5.27878965332178,4.11376714100574,15.9690774787075,10.6809673765086,2.18491629524189,2.73256380748778,-2.34822511598688,-7.30655688758139
HR1425,-42.0039469861249,-12.2303297042159,3.07132365541484,-18.012518864055,-3.74084600997038,1.4484406667533,0.897116047367968,-0.482207146016989,-4.58059509955468,5.91965947535798
HR1428,-24.4138142969048,-15.5659766033399,-0.226078721413447,-11.2747133948415,-4.31921216427951,-0.198404225240356,-0.245558542173323,-2.59957195112252,-1.86962171700591,4.89860483418053
HR1435,-6.4691396973992,-22.4613281717023,-14.5480540186811,8.08367312073319,-7.52505505092733,4.086955323234,1.43307015301367,-10.4879423937652,5.53666960611308,1.47998879477344
HR1437,-11.0642693733005,-13.3210043523248,-21.48492761704,2.00099689050089,-0.997590778054721,3.41181964509298,-0.673504952109912,-5.21397227356468,-7.71458396796674,1.97622739248537
HR1441,-10.5569797068173,-24.5896611857062,5.07027233423152,-0.343976649009589,11.7795343931142,3.30839050648115,-1.91516692158804,1.63155423458001,3.85886799404842,-2.97730380143314
HR1451,-8.4506953584378,7.52527445576547,-19.2008327041271,12.145770262073,-10.2061609996913,4.72455325926936,-1.2696195769851,-2.81261430104095,-0.707831913766829,-0.0399705509684329
HR1454,-6.18853127095928,-17.61788836245,-21.7902981649729,11.8932077811622,0.119855302631073,-1.07654057858441,8.04782207613245,-8.0240446023718,-2.18434266218502,-3.73136931514697
HR1455,-9.47007434539922,-3.53989734554921,13.0126497128193,15.6372749451626,-9.00621764854759,2.47680011778056,10.1607308274196,-0.241641939500303,-2.39356715038452,-1.99876132958723
HR1458,-3.49469433140671,17.3627753289455,-14.0502776490918,4.68712660440472,-1.87142755119451,3.04161118596214,6.58474701878268,1.96292924802559,1.50279711643137,-3.31453455800076
HR1459,32.5620027106559,-4.95425841220052,3.11531954279132,3.6715981417477,-5.01949072442618,3.31205788498046,0.0916588256675512,-2.42017569077074,-8.80485126263195,-0.197204397601572
HR1460,-8.13608748857203,-28.5674155879311,-16.3958122820822,3.334919805275,-7.23156727281139,-4.68408012037348,4.28078266573464,-7.9401936890037,4.02942341361563,9.8054720836671
HR1461,13.6883014324687,-4.68337241890085,-20.0145891789577,-2.96893661967564,3.33049015410985,-1.08024850743466,6.404941162164,-3.36804060161709,0.648812132248839,-5.433368953995
HR1464,-19.6704445519559,2.73504462918647,-3.55659331565741,11.0644925650121,-4.1832257110514,5.75862884081183,7.8868034294936,-0.223013606929236,-1.71566266029251,1.23020584564576
HR1469,7.56863972906144,1.38219005139278,-0.866585142972411,10.2686315668034,-0.600912963099901,-0.245726089126842,-4.64849478648046,-4.60296644677314,2.86850523042018,-0.425761819485914
HR1474,-6.4717765064055,9.0520438917531,-13.8860941429617,1.3178357595165,-3.6797546107923,-5.88095388825942,3.03779935934788,-1.36646543913435,-0.109267560656993,-3.06465004410833
HR1475,1.88932523439431,-14.6960959709786,3.72836282474275,8.67199787752937,17.6742538387967,4.00977221704855,6.01430725357862,-0.903716324230174,3.95633431634972,-0.773622788854013
HR1482,-5.45828075314084,14.0051990995113,-6.9833072144611,-1.5279398025083,3.4470440689317,6.74431985459532,0.672500190001164,5.01043323417076,-6.23953043808798,-1.87065250726402
HR1485,-6.71304081897065,-13.7497111348291,17.9309014039215,15.3776327332314,-13.5048251183079,-0.755354096844101,3.96078860806091,13.7330161092526,-5.28483299781965,-4.13327406836529
HR1487,-26.1669641264234,17.1387008180916,4.66184836878537,0.223112681374047,0.406374738219956,5.72078127300941,-0.515792078730951,3.33024041139178,2.67561319863275,4.32125793966986
HR1489,10.8961118476555,-13.4197589722705,4.65579523089899,9.5804579497575,8.82408191908293,-0.495199190036257,-5.01676937880481,-7.02992335662934,0.964578341544451,-5.47639123531475
HR1490,12.0430236990818,12.8917522927086,-2.52307404762518,8.68029695622652,-15.997788229406,-5.35473291368055,-3.36216591642384,2.57549914848354,-0.890711324215268,-6.00039403602281
HR1551,28.9850377002274,-17.4483029557367,-1.86966822999606,6.49411089662984,-5.49616564846664,-0.951349071784915,-5.15608860005495,-1.46126190901707,3.67383961824304,-5.57417550201286
HR1552,-4.84122259095868,18.7815010413856,-19.8006502669791,2.4790278161486,-0.351381114620281,7.96807873736734,-1.83099160453405,10.6804840678893,-0.804277005155013,-1.83079029730863
HR1554,14.4877450207313,-2.39270099199383,-14.9900131120295,1.70756430455164,6.98489929508316,2.92589323478859,-1.00222802643933,2.20060793737533,6.9496135089688,-4.88812959418258
