gene_symbol,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC,loading
CTSC,0.00878919540959702,-0.0510577869507206,-0.00176538422287026,-0.00333522916852562,0.0210468901105785,0.0249687566705511,-0.00180149785718311,-0.00244211515302112,0.00607648144124243,-0.0348682740870003,PC2,-0.0510577869507206
CCL26,-0.00107778640450824,-0.0510100243299417,0.00849422956743046,0.000337154076776022,0.0207798238978257,0.0156788641743456,-0.00163704358637829,0.00228489237083308,0.00311872229156395,-0.0364143916680599,PC2,-0.0510100243299417
NTRK2,-0.00794708220772938,-0.0508189908599614,0.0161658693994529,-0.0137217886960156,0.0108880784710326,0.0022201105052801,-0.00882673102865683,-0.0106154391907919,-0.00599689318957075,-0.032008962050621,PC2,-0.0508189908599614
CCBL1,-0.00560882696617216,-0.0507017803093209,0.0163637901675249,-0.00754106297951606,0.0321279626538253,0.00183784091686308,0.0139012839566414,0.00978060093447874,0.00616015568420265,0.0169267385077386,PC2,-0.0507017803093209
CD44,0.01296197526519,-0.0501162570318224,0.0101182886951791,-0.0122260006798724,-0.00382741289243439,0.0243750955045114,-0.0137599564122292,-0.0188957102915244,0.00731084446307002,-0.0027603343045602,PC2,-0.0501162570318224
CCK,0.00310348212410234,-0.0499951126563211,-0.00577035376988017,0.0102422260786514,0.00624566674080209,0.0249530200068222,0.00737139815924317,-0.00890925249772962,-0.00691810398216337,-0.0100336296495234,PC2,-0.0499951126563211
PRB2,-0.000143649565645846,-0.0497687856834057,0.0134025937233272,-0.00771716930888881,0.0220185710377349,0.0115325814608413,0.00242768424780967,0.00725060727713063,0.00422937598663072,-0.0104355631958054,PC2,-0.0497687856834057
ADAMTS9,0.00258701528732814,-0.0496649223438333,0.0137323010989976,-0.0187415961004041,-0.000621843400574228,0.0066868387253116,0.00194218603784299,-0.00839826006002904,0.0124007722989934,0.00447336921098926,PC2,-0.0496649223438333
VSIG1,0.00506775041669909,-0.0496457210640792,0.00467469753120139,0.0208135109311094,0.0167494779195819,0.00983488630586295,-0.00335244661172014,-0.00645624674181724,0.0225280171335359,-0.0212369840752429,PC2,-0.0496457210640792
ESAM,0.00399744398014076,-0.0496441184144277,0.00628917430767023,0.0114343761214973,0.00242551210608894,0.0243724386823853,0.00349401757610836,-0.000898850339506905,0.0177904191045418,0.0151927490919847,PC2,-0.0496441184144277
GFRA3,-0.00378224957598736,-0.0491873604598721,0.012131070607713,-0.0142633144968559,0.0208874429719901,0.0068539071232465,-0.0123606406660758,0.0146084521940159,0.00375602114058746,0.00900868560273626,PC2,-0.0491873604598721
PTCHD4,-0.00735893825593935,-0.0491538656583812,0.0109852788309451,-0.0177139909790271,0.0177531549965018,-0.00061575320159339,-0.00393767036412102,-0.0072876984988879,-0.00736368102613752,-0.0207741696429625,PC2,-0.0491538656583812
ALOX15,-0.0107766978585364,-0.0490376076767348,-0.000106313972769127,0.00261944647196891,0.0241547371571945,-0.000432116201069477,-0.00852451235379852,0.0194472313111724,-0.00368818800937042,-0.0433720355580496,PC2,-0.0490376076767348
GRM7-AS1,-0.00355457834139991,-0.0490245108288065,0.0117182711218591,-0.0034376198313569,0.0212232290532179,0.011864746647535,0.00243427849731237,0.00708345519129403,0.00999474568459912,-0.012506371111367,PC2,-0.0490245108288065
CA2,0.0108949806608169,-0.0489192076614631,0.00292717763935278,0.0145556557059948,0.0207516304961554,0.000330176724026964,-0.00792081894595319,-0.00512916731168838,0.0162448210138969,-0.0216482582397341,PC2,-0.0489192076614631
PTGDR2,0.00696892823077711,-0.0489018400701046,0.0162866729278056,-0.00392027646914759,0.0240494130577307,0.00247802720130809,-0.000578016502612105,0.0375579572512439,0.00388092294459484,-0.0335711864045176,PC2,-0.0489018400701046
